group,id,input,measure
PredicatePushdown - Join - selectivity,With,40,109360758.0
PredicatePushdown - Join - selectivity,With,40,108858133.92857143
PredicatePushdown - Join - selectivity,With,40,108216264.6875
PredicatePushdown - Join - selectivity,With,40,108126980.0
PredicatePushdown - Join - selectivity,With,40,108421308.25
PredicatePushdown - Join - selectivity,With,40,108542317.86363636
PredicatePushdown - Join - selectivity,With,40,109597573.45833333
PredicatePushdown - Join - selectivity,With,40,109351806.6923077
PredicatePushdown - Join - selectivity,With,40,110670866.67857143
PredicatePushdown - Join - selectivity,With,40,110288600.4
PredicatePushdown - Join - selectivity,With,40,110802626.15625
PredicatePushdown - Join - selectivity,With,40,110285508.05882353
PredicatePushdown - Join - selectivity,With,40,111227686.08333333
PredicatePushdown - Join - selectivity,With,40,111205093.78947368
PredicatePushdown - Join - selectivity,With,40,110154831.225
PredicatePushdown - Join - selectivity,With,80,21313521.85714286
PredicatePushdown - Join - selectivity,With,80,20356946.714285713
PredicatePushdown - Join - selectivity,With,80,20544723.714285713
PredicatePushdown - Join - selectivity,With,80,20415506.285714287
PredicatePushdown - Join - selectivity,With,80,20345596.285714287
PredicatePushdown - Join - selectivity,With,80,20605085.80952381
PredicatePushdown - Join - selectivity,With,80,20381636.285714287
PredicatePushdown - Join - selectivity,With,80,20504430.48214286
PredicatePushdown - Join - selectivity,With,80,20378118.61904762
PredicatePushdown - Join - selectivity,With,80,20455720.457142856
PredicatePushdown - Join - selectivity,With,80,20367915.623376623
PredicatePushdown - Join - selectivity,With,80,20487243.273809522
PredicatePushdown - Join - selectivity,With,80,20383676.10989011
PredicatePushdown - Join - selectivity,With,80,20396003.653061226
PredicatePushdown - Join - selectivity,With,80,20451029.552380953
PredicatePushdown - Join - selectivity,With,80,20536776.35714286
PredicatePushdown - Join - selectivity,With,80,20529108.29411765
PredicatePushdown - Join - selectivity,With,80,20466787.65079365
PredicatePushdown - Join - selectivity,With,80,20561257.639097743
PredicatePushdown - Join - selectivity,With,80,20411462.185714286
PredicatePushdown - Join - selectivity,With,20,208367011.0
PredicatePushdown - Join - selectivity,With,20,213009550.5
PredicatePushdown - Join - selectivity,With,20,219348220.33333334
PredicatePushdown - Join - selectivity,With,20,217710441.75
PredicatePushdown - Join - selectivity,With,20,218508045.6
PredicatePushdown - Join - selectivity,With,20,220348541.0
PredicatePushdown - Join - selectivity,With,20,217147938.0
PredicatePushdown - Join - selectivity,With,20,217352812.0
PredicatePushdown - Join - selectivity,With,20,214709690.2222222
PredicatePushdown - Join - selectivity,With,20,215670434.1
PredicatePushdown - Join - selectivity,With,20,219467657.0
PredicatePushdown - Join - selectivity,With,20,214522037.0
PredicatePushdown - Join - selectivity,With,20,215853956.92307693
PredicatePushdown - Join - selectivity,With,20,213838019.92857143
PredicatePushdown - Join - selectivity,With,20,217401452.93333334
PredicatePushdown - Join - selectivity,With,20,216747869.25
PredicatePushdown - Join - selectivity,With,20,216230194.7647059
PredicatePushdown - Join - selectivity,With,20,218250048.55555555
PredicatePushdown - Join - selectivity,With,20,212489093.0526316
PredicatePushdown - Join - selectivity,With,20,221359420.0
PredicatePushdown - Join - selectivity,Closures,60,94607838.5
PredicatePushdown - Join - selectivity,Closures,60,90193253.75
PredicatePushdown - Join - selectivity,Closures,60,89086780.83333333
PredicatePushdown - Join - selectivity,Closures,60,88000686.0
PredicatePushdown - Join - selectivity,Closures,60,88070580.5
PredicatePushdown - Join - selectivity,Closures,60,88318266.58333333
PredicatePushdown - Join - selectivity,Closures,60,90656118.28571428
PredicatePushdown - Join - selectivity,Closures,60,97511390.5
PredicatePushdown - Join - selectivity,Closures,60,87983177.77777778
PredicatePushdown - Join - selectivity,Closures,60,88432568.95
PredicatePushdown - Join - selectivity,Closures,60,89352815.0909091
PredicatePushdown - Join - selectivity,Closures,60,88444713.5
PredicatePushdown - Join - selectivity,Closures,60,87548515.57692307
PredicatePushdown - Join - selectivity,Closures,60,88053584.0
PredicatePushdown - Join - selectivity,Closures,60,88000300.4
PredicatePushdown - Join - selectivity,Closures,60,88077671.46875
PredicatePushdown - Join - selectivity,Closures,60,91777678.76470588
PredicatePushdown - Join - selectivity,Closures,60,87739333.97222222
PredicatePushdown - Join - selectivity,Closures,60,87915934.60526316
PredicatePushdown - Join - selectivity,Closures,60,87614264.575
PredicatePushdown - Join - selectivity,Closures,40,120777866.0
PredicatePushdown - Join - selectivity,Closures,40,119503917.0
PredicatePushdown - Join - selectivity,Closures,40,120890834.83333333
PredicatePushdown - Join - selectivity,Closures,40,120421015.25
PredicatePushdown - Join - selectivity,Closures,40,119314331.2
PredicatePushdown - Join - selectivity,Closures,40,119834844.33333333
PredicatePushdown - Join - selectivity,Closures,40,121273489.42857143
PredicatePushdown - Join - selectivity,Closures,40,122278158.0625
PredicatePushdown - Join - selectivity,Closures,40,119971982.05555555
PredicatePushdown - Join - selectivity,Closures,40,119687717.2
PredicatePushdown - Join - selectivity,Closures,40,120493881.36363636
PredicatePushdown - Join - selectivity,Closures,40,120272140.29166667
PredicatePushdown - Join - selectivity,Closures,40,119920524.57692307
PredicatePushdown - Join - selectivity,Closures,40,120175150.64285715
PredicatePushdown - Join - selectivity,Closures,40,120218116.43333334
PredicatePushdown - Join - selectivity,Closures,40,119839245.03125
PredicatePushdown - Join - selectivity,Closures,40,120929592.08823529
PredicatePushdown - Join - selectivity,Closures,40,120197837.94444445
PredicatePushdown - Join - selectivity,Closures,40,120072255.5
PredicatePushdown - Join - selectivity,Closures,40,119856684.85
PredicatePushdown - Join - selectivity,Closures,80,67135689.33333333
PredicatePushdown - Join - selectivity,Closures,80,66980491.5
PredicatePushdown - Join - selectivity,Closures,80,66975255.222222224
PredicatePushdown - Join - selectivity,Closures,80,66802245.75
PredicatePushdown - Join - selectivity,Closures,80,66306795.266666666
PredicatePushdown - Join - selectivity,Closures,80,66389918.833333336
PredicatePushdown - Join - selectivity,Closures,80,67875857.47619048
PredicatePushdown - Join - selectivity,Closures,80,67309519.83333333
PredicatePushdown - Join - selectivity,Closures,80,66890845.222222224
PredicatePushdown - Join - selectivity,Closures,80,67671329.26666667
PredicatePushdown - Join - selectivity,Closures,80,66709403.09090909
PredicatePushdown - Join - selectivity,Closures,80,66697178.30555555
PredicatePushdown - Join - selectivity,Closures,80,67005354.28205128
PredicatePushdown - Join - selectivity,Closures,80,66665138.26190476
PredicatePushdown - Join - selectivity,Closures,80,66755546.6
PredicatePushdown - Join - selectivity,Closures,80,67024773.625
PredicatePushdown - Join - selectivity,Closures,80,66739770.62745098
PredicatePushdown - Join - selectivity,Closures,80,66836715.05555555
PredicatePushdown - Join - selectivity,Closures,80,66641584.21052632
PredicatePushdown - Join - selectivity,Closures,80,66850767.96666667
PredicatePushdown - Join - selectivity,Closures,20,169029525.0
PredicatePushdown - Join - selectivity,Closures,20,167730947.5
PredicatePushdown - Join - selectivity,Closures,20,173333329.33333334
PredicatePushdown - Join - selectivity,Closures,20,168148416.75
PredicatePushdown - Join - selectivity,Closures,20,164804847.4
PredicatePushdown - Join - selectivity,Closures,20,167545549.83333334
PredicatePushdown - Join - selectivity,Closures,20,172935206.42857143
PredicatePushdown - Join - selectivity,Closures,20,173377258.75
PredicatePushdown - Join - selectivity,Closures,20,175418952.2222222
PredicatePushdown - Join - selectivity,Closures,20,171089407.1
PredicatePushdown - Join - selectivity,Closures,20,168040455.0909091
PredicatePushdown - Join - selectivity,Closures,20,164260558.16666666
PredicatePushdown - Join - selectivity,Closures,20,163047464.53846154
PredicatePushdown - Join - selectivity,Closures,20,163017426.14285713
PredicatePushdown - Join - selectivity,Closures,20,157308314.73333332
PredicatePushdown - Join - selectivity,Closures,20,158371836.125
PredicatePushdown - Join - selectivity,Closures,20,161541326.05882353
PredicatePushdown - Join - selectivity,Closures,20,167418539.33333334
PredicatePushdown - Join - selectivity,Closures,20,175449081.0
PredicatePushdown - Join - selectivity,Closures,20,173772749.55
PredicatePushdown - Join - selectivity,Without,60,223538522.0
PredicatePushdown - Join - selectivity,Without,60,210309682.5
PredicatePushdown - Join - selectivity,Without,60,211178001.33333334
PredicatePushdown - Join - selectivity,Without,60,212237103.75
PredicatePushdown - Join - selectivity,Without,60,212156256.4
PredicatePushdown - Join - selectivity,Without,60,211306145.5
PredicatePushdown - Join - selectivity,Without,60,210851126.42857143
PredicatePushdown - Join - selectivity,Without,60,210374249.875
PredicatePushdown - Join - selectivity,Without,60,210008170.55555555
PredicatePushdown - Join - selectivity,Without,60,210131347.1
PredicatePushdown - Join - selectivity,Without,60,210349490.9090909
PredicatePushdown - Join - selectivity,Without,60,211354455.08333334
PredicatePushdown - Join - selectivity,Without,60,210970710.30769232
PredicatePushdown - Join - selectivity,Without,60,210649991.57142857
PredicatePushdown - Join - selectivity,Without,60,211705892.0
PredicatePushdown - Join - selectivity,Without,60,210518805.1875
PredicatePushdown - Join - selectivity,Without,60,210625397.7647059
PredicatePushdown - Join - selectivity,Without,60,209876517.83333334
PredicatePushdown - Join - selectivity,Without,60,211420786.42105263
PredicatePushdown - Join - selectivity,Without,60,211289810.25
PredicatePushdown - Join - selectivity,Without,40,247339905.0
PredicatePushdown - Join - selectivity,Without,40,319574350.5
PredicatePushdown - Join - selectivity,Without,40,248178695.33333334
PredicatePushdown - Join - selectivity,Without,40,233058836.75
PredicatePushdown - Join - selectivity,Without,40,233868779.6
PredicatePushdown - Join - selectivity,Without,40,235607621.0
PredicatePushdown - Join - selectivity,Without,40,239403296.85714287
PredicatePushdown - Join - selectivity,Without,40,233921363.5
PredicatePushdown - Join - selectivity,Without,40,232874888.1111111
PredicatePushdown - Join - selectivity,Without,40,234388470.4
PredicatePushdown - Join - selectivity,Without,40,234256716.8181818
PredicatePushdown - Join - selectivity,Without,40,234381859.0
PredicatePushdown - Join - selectivity,Without,40,234665570.15384614
PredicatePushdown - Join - selectivity,Without,40,233496719.7857143
PredicatePushdown - Join - selectivity,Without,40,234334320.8
PredicatePushdown - Join - selectivity,Without,40,232920969.5625
PredicatePushdown - Join - selectivity,Without,40,233756658.88235295
PredicatePushdown - Join - selectivity,Without,40,236523140.3888889
PredicatePushdown - Join - selectivity,Without,40,233039627.21052632
PredicatePushdown - Join - selectivity,Without,40,233791904.35
PredicatePushdown - Join - selectivity,Without,80,201003577.0
PredicatePushdown - Join - selectivity,Without,80,199291758.0
PredicatePushdown - Join - selectivity,Without,80,199748779.0
PredicatePushdown - Join - selectivity,Without,80,198783845.75
PredicatePushdown - Join - selectivity,Without,80,197977122.8
PredicatePushdown - Join - selectivity,Without,80,202427011.83333334
PredicatePushdown - Join - selectivity,Without,80,202137880.7142857
PredicatePushdown - Join - selectivity,Without,80,198788120.0
PredicatePushdown - Join - selectivity,Without,80,199108718.55555555
PredicatePushdown - Join - selectivity,Without,80,198916573.5
PredicatePushdown - Join - selectivity,Without,80,198642658.1818182
PredicatePushdown - Join - selectivity,Without,80,200075815.08333334
PredicatePushdown - Join - selectivity,Without,80,198779084.69230768
PredicatePushdown - Join - selectivity,Without,80,198464805.0
PredicatePushdown - Join - selectivity,Without,80,198808533.26666668
PredicatePushdown - Join - selectivity,Without,80,198416594.1875
PredicatePushdown - Join - selectivity,Without,80,199498369.52941176
PredicatePushdown - Join - selectivity,Without,80,199752704.5
PredicatePushdown - Join - selectivity,Without,80,198632616.47368422
PredicatePushdown - Join - selectivity,Without,80,199699827.85
PredicatePushdown - Join - selectivity,Without,20,304432615.0
PredicatePushdown - Join - selectivity,Without,20,299084692.0
PredicatePushdown - Join - selectivity,Without,20,304852006.0
PredicatePushdown - Join - selectivity,Without,20,298900494.6
PredicatePushdown - Join - selectivity,Without,20,303578268.2
PredicatePushdown - Join - selectivity,Without,20,300369550.0
PredicatePushdown - Join - selectivity,Without,20,297217369.0
PredicatePushdown - Join - selectivity,Without,20,298668708.4
PredicatePushdown - Join - selectivity,Without,20,301624713.4
PredicatePushdown - Join - selectivity,Without,20,297410704.8
PredicatePushdown - Join - selectivity,Without,20,298679750.0
PredicatePushdown - Join - selectivity,Without,20,305509599.8
PredicatePushdown - Join - selectivity,Without,20,304568501.4
PredicatePushdown - Join - selectivity,Without,20,298527205.2
PredicatePushdown - Join - selectivity,Without,20,298995639.4
PredicatePushdown - Join - selectivity,Without,20,300566496.2
PredicatePushdown - Join - selectivity,Without,20,300407359.8
PredicatePushdown - Join - selectivity,Without,20,298639057.0
PredicatePushdown - Join - selectivity,Without,20,298585361.8
PredicatePushdown - Join - selectivity,Without,20,298517196.8
Compiled vs Interpreted,Compiled,1000000,72268342.0
