stream,lib,n_row,memory,i,time
groupby,pandas,1000000,30.914062,1,1710235716.2617
groupby,pandas,1000000,56.863281,1,1710235716.362
groupby,pandas,1000000,89.363281,1,1710235716.4624
groupby,pandas,1000000,120.738281,1,1710235716.5627
groupby,pandas,1000000,150.738281,1,1710235716.6631
groupby,pandas,1000000,99.253906,1,1710235716.7634
groupby,pandas,10000000,1.5,9,1710236056.2481
groupby,pandas,10000000,21.539062,9,1710236056.3484
groupby,pandas,10000000,28.539062,9,1710236056.4487
groupby,pandas,10000000,35.914062,9,1710236056.549
groupby,pandas,10000000,41.539062,9,1710236056.6494
groupby,pandas,10000000,48.136719,9,1710236056.7496
groupby,pandas,10000000,53.636719,9,1710236056.8499
groupby,pandas,10000000,58.511719,9,1710236056.9502
groupby,pandas,10000000,63.636719,9,1710236057.0504
groupby,pandas,10000000,85.511719,9,1710236057.1507
groupby,pandas,10000000,110.511719,9,1710236057.251
groupby,pandas,10000000,130.511719,9,1710236057.3512
groupby,pandas,10000000,154.886719,9,1710236057.4515
groupby,pandas,10000000,175.511719,9,1710236057.5518
groupby,pandas,10000000,197.386719,9,1710236057.652
groupby,pandas,10000000,220.511719,9,1710236057.7523
groupby,pandas,10000000,241.136719,9,1710236057.8526
groupby,pandas,10000000,265.511719,9,1710236057.9529
groupby,pandas,10000000,287.511719,9,1710236058.0532
groupby,pandas,10000000,310.511719,9,1710236058.1535
groupby,pandas,10000000,331.011719,9,1710236058.2538
groupby,pandas,10000000,355.511719,9,1710236058.354
groupby,pandas,10000000,375.636719,9,1710236058.4544
groupby,pandas,10000000,400.636719,9,1710236058.5548
groupby,pandas,10000000,420.886719,9,1710236058.6551
groupby,pandas,10000000,443.386719,9,1710236058.7553
groupby,pandas,10000000,465.636719,9,1710236058.8557
groupby,pandas,10000000,487.761719,9,1710236058.956
groupby,pandas,10000000,510.636719,9,1710236059.0562
groupby,pandas,10000000,533.761719,9,1710236059.1565
groupby,pandas,10000000,555.886719,9,1710236059.2568
groupby,pandas,10000000,580.886719,9,1710236059.3572
groupby,pandas,10000000,600.886719,9,1710236059.4574
groupby,pandas,10000000,625.386719,9,1710236059.5577
groupby,pandas,10000000,646.136719,9,1710236059.658
groupby,pandas,10000000,670.886719,9,1710236059.7582
groupby,pandas,10000000,691.136719,9,1710236059.8585
groupby,pandas,10000000,715.886719,9,1710236059.9588
groupby,pandas,10000000,736.136719,9,1710236060.059
groupby,pandas,10000000,761.011719,9,1710236060.1594
groupby,pandas,10000000,781.011719,9,1710236060.2597
groupby,pandas,10000000,805.011719,9,1710236060.3599
groupby,pandas,10000000,826.011719,9,1710236060.4602
groupby,pandas,10000000,1041.527344,9,1710236060.5606
groupby,pandas,10000000,1236.066406,9,1710236060.6609
groupby,pandas,10000000,1447.019531,9,1710236060.7612
groupby,pandas,10000000,1045.789062,9,1710236060.8615
groupby,pandas,10000000,1172.492188,9,1710236060.9619
join,polars,10000000,0.25,2,1710235906.9797
join,polars,10000000,35.988281,2,1710235907.08
join,polars,10000000,172.488281,2,1710235907.1804
join,polars,10000000,312.863281,2,1710235907.2807
join,polars,10000000,453.613281,2,1710235907.3811
join,polars,10000000,594.363281,2,1710235907.4815
join,polars,10000000,735.238281,2,1710235907.5819
join,polars,10000000,875.738281,2,1710235907.6822
join,polars,10000000,1016.613281,2,1710235907.7826
join,polars,10000000,1015.898438,2,1710235907.883
join,polars,10000000,1529.523438,2,1710235907.9834
join,polars,10000000,950.058594,2,1710235908.0838
join,polars,10000000,1174.167969,2,1710235908.1842
join,polars,10000000,1325.316406,2,1710235908.2846
join,polars,10000000,1911.316406,2,1710235908.385
join,polars,10000000,1675.964844,2,1710235908.4854
join,polars,10000000,2019.886719,2,1710235908.5858
join,polars,10000000,2139.570312,2,1710235908.6862
join,polars,10000000,2816.695312,2,1710235908.7866
join,polars,10000000,3494.320312,2,1710235908.887
join,polars,10000000,4169.695312,2,1710235908.9874
join,polars,10000000,4829.945312,2,1710235909.0878
join,polars,10000000,5495.570312,2,1710235909.1882
join,polars,10000000,6161.445312,2,1710235909.2886
join,polars,10000000,6817.320312,2,1710235909.3891
join,polars,10000000,7370.945312,2,1710235909.5019
join,polars,10000000,0.0,2,1710235909.615
join,polars,10000000,0.0,2,1710235909.7157
join,polars,10000000,0.0,2,1710235909.8161
join,polars,10000000,0.0,2,1710235909.9164
groupby,noir,10000000,0.375,7,1710235851.5156
groupby,noir,10000000,25.414062,7,1710235851.6159
groupby,noir,10000000,25.414062,7,1710235851.7161
groupby,noir,10000000,25.414062,7,1710235851.8164
groupby,noir,10000000,25.414062,7,1710235851.9166
groupby,noir,10000000,25.414062,7,1710235852.0168
groupby,noir,10000000,25.414062,7,1710235852.117
groupby,noir,10000000,25.414062,7,1710235852.2172
groupby,noir,10000000,25.414062,7,1710235852.3174
groupby,noir,10000000,25.664062,7,1710235852.4177
join,noir,10000,0.375,10,1710235648.009
groupby,pandas,100000,0.375,4,1710235677.2835
groupby,pandas,100000,30.914062,4,1710235677.3838
groupby,pandas,100000,56.859375,4,1710235677.4841
groupby,pandas,100000,71.734375,4,1710235677.5845
join,polars,10000,0.375,9,1710235652.5977
join,polars,10000,41.023438,9,1710235652.698
join,noir,10000,0.375,6,1710235646.687
groupby,polars,10000000,0.375,4,1710235921.1085
groupby,polars,10000000,28.417969,4,1710235921.2088
groupby,polars,10000000,36.617188,4,1710235921.3091
groupby,polars,10000000,133.367188,4,1710235921.4095
groupby,polars,10000000,240.867188,4,1710235921.5099
groupby,polars,10000000,322.617188,4,1710235921.6102
groupby,polars,10000000,345.117188,4,1710235921.7105
groupby,polars,10000000,367.617188,4,1710235921.8107
groupby,polars,10000000,390.242188,4,1710235921.911
groupby,polars,10000000,412.867188,4,1710235922.0113
groupby,polars,10000000,435.367188,4,1710235922.1115
groupby,polars,10000000,457.992188,4,1710235922.2118
groupby,polars,10000000,480.617188,4,1710235922.312
groupby,polars,10000000,503.117188,4,1710235922.4123
groupby,polars,10000000,525.742188,4,1710235922.5125
groupby,polars,10000000,548.367188,4,1710235922.6128
groupby,polars,10000000,347.242188,4,1710235922.713
groupby,polars,10000000,244.425781,4,1710235922.8134
groupby,polars,10000000,301.925781,4,1710235922.9138
groupby,polars,10000000,118.792969,4,1710235923.0141
groupby,polars,100000,0.375,6,1710235671.2304
groupby,polars,100000,42.363281,6,1710235671.3308
join,polars,1000000,0.25,10,1710235713.4541
join,polars,1000000,38.863281,10,1710235713.5544
join,polars,1000000,251.457031,10,1710235713.6547
join,polars,1000000,591.632812,10,1710235713.7551
join,polars,1000000,1267.507812,10,1710235713.8555
join,polars,1000000,1610.933594,10,1710235713.9559
join,polars,1000000,2179.933594,10,1710235714.0564
join,polars,1000000,1032.75,10,1710235714.1568
join,pandas,1000000,0.25,6,1710235726.2847
join,pandas,1000000,31.050781,6,1710235726.385
join,pandas,1000000,56.773438,6,1710235726.4853
join,pandas,1000000,90.523438,6,1710235726.5856
join,pandas,1000000,120.898438,6,1710235726.6859
join,pandas,1000000,150.898438,6,1710235726.7862
join,pandas,1000000,315.667969,6,1710235726.8865
join,pandas,1000000,405.042969,6,1710235726.9869
join,pandas,1000000,513.621094,6,1710235727.0872
join,pandas,1000000,1107.886719,6,1710235727.1876
join,pandas,1000000,1725.886719,6,1710235727.2879
join,pandas,1000000,2474.179688,6,1710235727.3884
join,pandas,1000000,3226.445312,6,1710235727.4887
join,pandas,1000000,1905.605469,6,1710235727.5891
join,pandas,1000000,2386.703125,6,1710235727.6895
groupby,polars,10000,0.375,8,1710235652.3327
groupby,polars,10000,42.617188,8,1710235652.433
join,polars,100000,0.375,10,1710235673.0899
join,polars,100000,38.617188,10,1710235673.1902
join,noir,1000000,0.375,6,1710235693.5387
join,noir,1000000,50.910156,6,1710235693.6391
join,noir,1000000,88.160156,6,1710235693.7394
join,noir,1000000,120.285156,6,1710235693.8427
join,noir,1000000,152.410156,6,1710235693.9431
join,noir,1000000,185.410156,6,1710235694.0435
join,noir,1000000,217.785156,6,1710235694.1438
join,noir,1000000,250.660156,6,1710235694.2442
join,noir,1000000,283.035156,6,1710235694.3446
join,noir,1000000,315.285156,6,1710235694.4449
join,noir,1000000,346.035156,6,1710235694.5453
join,noir,1000000,378.785156,6,1710235694.6457
join,noir,1000000,411.285156,6,1710235694.746
join,noir,1000000,444.660156,6,1710235694.8464
join,noir,1000000,471.410156,6,1710235694.9467
join,noir,1000000,0.375,3,1710235687.7206
join,noir,1000000,52.289062,3,1710235687.8241
join,noir,1000000,88.164062,3,1710235687.9245
join,noir,1000000,118.414062,3,1710235688.0249
join,noir,1000000,150.789062,3,1710235688.1253
join,noir,1000000,180.539062,3,1710235688.2256
join,noir,1000000,210.289062,3,1710235688.326
join,noir,1000000,239.414062,3,1710235688.4264
join,noir,1000000,268.914062,3,1710235688.5267
join,noir,1000000,299.164062,3,1710235688.6271
join,noir,1000000,328.789062,3,1710235688.7274
join,noir,1000000,358.789062,3,1710235688.8278
join,noir,1000000,388.289062,3,1710235688.9282
join,noir,1000000,416.039062,3,1710235689.0285
join,noir,1000000,446.664062,3,1710235689.1289
join,noir,1000000,469.164062,3,1710235689.2293
join,pandas,10000,0.375,6,1710235658.6269
join,pandas,10000,30.917969,6,1710235658.7271
join,pandas,10000,56.648438,6,1710235658.8275
join,pandas,10000,77.519531,6,1710235658.9278
groupby,noir,1000000,0.375,6,1710235695.1115
groupby,noir,1000000,25.292969,6,1710235695.2118
groupby,pandas,1000000,0.375,10,1710235737.2078
groupby,pandas,1000000,30.914062,10,1710235737.3081
groupby,pandas,1000000,56.867188,10,1710235737.4085
groupby,pandas,1000000,90.492188,10,1710235737.5089
groupby,pandas,1000000,120.992188,10,1710235737.6093
groupby,pandas,1000000,150.992188,10,1710235737.7096
groupby,pandas,1000000,99.585938,10,1710235737.81
join,pandas,10000,0.375,4,1710235656.9623
join,pandas,10000,30.910156,4,1710235657.0626
join,pandas,10000,56.894531,4,1710235657.1629
join,pandas,10000,77.886719,4,1710235657.2632
groupby,polars,100000,0.375,1,1710235668.5711
groupby,polars,100000,38.488281,1,1710235668.6714
groupby,noir,100000,0.375,9,1710235667.6099
groupby,pandas,100000,0.375,3,1710235676.2501
groupby,pandas,100000,30.792969,3,1710235676.3503
groupby,pandas,100000,56.992188,3,1710235676.4506
groupby,pandas,100000,71.988281,3,1710235676.5509
join,pandas,1000000,0.375,2,1710235716.9292
join,pandas,1000000,30.796875,2,1710235717.0294
join,pandas,1000000,56.769531,2,1710235717.1297
join,pandas,1000000,90.894531,2,1710235717.2301
join,pandas,1000000,120.894531,2,1710235717.3304
join,pandas,1000000,151.394531,2,1710235717.4306
join,pandas,1000000,321.3125,2,1710235717.531
join,pandas,1000000,405.1875,2,1710235717.6313
join,pandas,1000000,558.886719,2,1710235717.7316
join,pandas,1000000,1155.152344,2,1710235717.832
join,pandas,1000000,1779.277344,2,1710235717.9324
join,pandas,1000000,2523.445312,2,1710235718.0327
join,pandas,1000000,1779.464844,2,1710235718.133
join,pandas,1000000,1926.871094,2,1710235718.2334
join,pandas,1000000,2389.96875,2,1710235718.3338
groupby,pandas,10000000,4.0,4,1710235997.5279
groupby,pandas,10000000,23.785156,4,1710235997.6282
groupby,pandas,10000000,32.410156,4,1710235997.7284
groupby,pandas,10000000,41.160156,4,1710235997.8288
groupby,pandas,10000000,47.984375,4,1710235997.9292
groupby,pandas,10000000,52.109375,4,1710235998.0296
groupby,pandas,10000000,58.109375,4,1710235998.1299
groupby,pandas,10000000,63.484375,4,1710235998.2302
groupby,pandas,10000000,79.984375,4,1710235998.3306
groupby,pandas,10000000,105.859375,4,1710235998.4311
groupby,pandas,10000000,126.234375,4,1710235998.5314
groupby,pandas,10000000,150.859375,4,1710235998.6317
groupby,pandas,10000000,170.859375,4,1710235998.7319
groupby,pandas,10000000,194.734375,4,1710235998.8322
groupby,pandas,10000000,215.859375,4,1710235998.9325
groupby,pandas,10000000,237.109375,4,1710235999.0328
groupby,pandas,10000000,260.859375,4,1710235999.1332
groupby,pandas,10000000,281.234375,4,1710235999.2335
groupby,pandas,10000000,305.859375,4,1710235999.3337
groupby,pandas,10000000,326.109375,4,1710235999.434
groupby,pandas,10000000,350.984375,4,1710235999.5345
groupby,pandas,10000000,371.234375,4,1710235999.6348
groupby,pandas,10000000,395.359375,4,1710235999.7351
groupby,pandas,10000000,415.984375,4,1710235999.8354
groupby,pandas,10000000,440.984375,4,1710235999.9356
groupby,pandas,10000000,461.234375,4,1710236000.0359
groupby,pandas,10000000,485.984375,4,1710236000.1364
groupby,pandas,10000000,505.984375,4,1710236000.2367
groupby,pandas,10000000,530.609375,4,1710236000.3369
groupby,pandas,10000000,551.484375,4,1710236000.4372
groupby,pandas,10000000,574.484375,4,1710236000.5375
groupby,pandas,10000000,596.234375,4,1710236000.6379
groupby,pandas,10000000,619.109375,4,1710236000.7381
groupby,pandas,10000000,641.234375,4,1710236000.8384
groupby,pandas,10000000,662.359375,4,1710236000.9386
groupby,pandas,10000000,686.234375,4,1710236001.039
groupby,pandas,10000000,707.859375,4,1710236001.1393
groupby,pandas,10000000,731.359375,4,1710236001.2396
groupby,pandas,10000000,751.359375,4,1710236001.3399
groupby,pandas,10000000,776.359375,4,1710236001.4402
groupby,pandas,10000000,796.359375,4,1710236001.5404
groupby,pandas,10000000,819.484375,4,1710236001.6407
groupby,pandas,10000000,841.359375,4,1710236001.741
groupby,pandas,10000000,1488.449219,4,1710236001.8414
groupby,pandas,10000000,1146.257812,4,1710236001.9419
groupby,pandas,10000000,953.875,4,1710236002.0423
groupby,pandas,10000000,1145.703125,4,1710236002.1428
groupby,polars,10000000,0.375,3,1710235915.6834
groupby,polars,10000000,28.664062,3,1710235915.7837
groupby,polars,10000000,36.488281,3,1710235915.884
groupby,polars,10000000,137.613281,3,1710235915.9844
groupby,polars,10000000,257.863281,3,1710235916.0848
groupby,polars,10000000,322.363281,3,1710235916.1851
groupby,polars,10000000,344.863281,3,1710235916.2854
groupby,polars,10000000,367.488281,3,1710235916.3857
groupby,polars,10000000,390.113281,3,1710235916.486
groupby,polars,10000000,412.738281,3,1710235916.5863
groupby,polars,10000000,435.238281,3,1710235916.6866
groupby,polars,10000000,457.738281,3,1710235916.7869
groupby,polars,10000000,480.363281,3,1710235916.8871
groupby,polars,10000000,502.988281,3,1710235916.9874
groupby,polars,10000000,525.613281,3,1710235917.0877
groupby,polars,10000000,547.738281,3,1710235917.188
groupby,polars,10000000,334.039062,3,1710235917.2884
groupby,polars,10000000,235.0,3,1710235917.3887
groupby,polars,10000000,285.125,3,1710235917.4891
groupby,polars,10000000,118.855469,3,1710235917.5894
groupby,polars,10000000,0.375,9,1710235947.9047
groupby,polars,10000000,28.789062,9,1710235948.005
groupby,polars,10000000,36.734375,9,1710235948.1053
groupby,polars,10000000,143.109375,9,1710235948.2056
groupby,polars,10000000,278.984375,9,1710235948.306
groupby,polars,10000000,321.234375,9,1710235948.4063
groupby,polars,10000000,343.984375,9,1710235948.5067
groupby,polars,10000000,365.984375,9,1710235948.607
groupby,polars,10000000,388.484375,9,1710235948.7073
groupby,polars,10000000,411.234375,9,1710235948.8075
groupby,polars,10000000,433.734375,9,1710235948.9078
groupby,polars,10000000,456.234375,9,1710235949.008
groupby,polars,10000000,478.859375,9,1710235949.1082
groupby,polars,10000000,501.484375,9,1710235949.2085
groupby,polars,10000000,523.984375,9,1710235949.3087
groupby,polars,10000000,546.484375,9,1710235949.4089
groupby,polars,10000000,331.675781,9,1710235949.5092
groupby,polars,10000000,227.171875,9,1710235949.6095
groupby,polars,10000000,288.921875,9,1710235949.7099
groupby,polars,10000000,118.773438,9,1710235949.8102
join,noir,100000,0.375,9,1710235667.2445
join,noir,100000,47.417969,9,1710235667.3448
join,noir,100000,78.167969,9,1710235667.4451
groupby,pandas,100000,0.375,6,1710235679.3464
groupby,pandas,100000,30.917969,6,1710235679.4467
groupby,pandas,100000,56.863281,6,1710235679.547
groupby,pandas,100000,77.976562,6,1710235679.6474
join,polars,10000000,0.25,7,1710235933.6977
join,polars,10000000,36.113281,7,1710235933.798
join,polars,10000000,176.863281,7,1710235933.8984
join,polars,10000000,317.488281,7,1710235933.9988
join,polars,10000000,457.988281,7,1710235934.0991
join,polars,10000000,598.988281,7,1710235934.1995
join,polars,10000000,739.988281,7,1710235934.2999
join,polars,10000000,880.738281,7,1710235934.4003
join,polars,10000000,1021.363281,7,1710235934.5006
join,polars,10000000,1037.519531,7,1710235934.601
join,polars,10000000,1550.269531,7,1710235934.7014
join,polars,10000000,910.421875,7,1710235934.8017
join,polars,10000000,1253.546875,7,1710235934.9021
join,polars,10000000,1385.574219,7,1710235935.0025
join,polars,10000000,2005.074219,7,1710235935.1029
join,polars,10000000,1856.722656,7,1710235935.2034
join,polars,10000000,1637.324219,7,1710235935.3038
join,polars,10000000,2320.574219,7,1710235935.4042
join,polars,10000000,3004.074219,7,1710235935.5046
join,polars,10000000,3688.074219,7,1710235935.605
join,polars,10000000,4362.449219,7,1710235935.7054
join,polars,10000000,5030.449219,7,1710235935.8058
join,polars,10000000,5702.199219,7,1710235935.9062
join,polars,10000000,6375.574219,7,1710235936.0066
join,polars,10000000,7048.199219,7,1710235936.107
join,polars,10000000,0.0,7,1710235936.4433
join,polars,10000000,0.0,7,1710235936.5442
join,polars,10000000,0.0,7,1710235936.6445
join,polars,10000000,0.0,7,1710235936.7449
join,polars,10000000,0.0,7,1710235936.8453
groupby,pandas,1000000,0.375,3,1710235720.8408
groupby,pandas,1000000,30.667969,3,1710235720.9411
groupby,pandas,1000000,56.617188,3,1710235721.0415
groupby,pandas,1000000,87.367188,3,1710235721.1419
groupby,pandas,1000000,117.992188,3,1710235721.2422
groupby,pandas,1000000,150.242188,3,1710235721.3426
groupby,pandas,1000000,99.460938,3,1710235721.443
join,pandas,10000000,0.375,1,1710235955.4154
join,pandas,10000000,22.167969,1,1710235955.5157
